id;price;title;location;availability;tag;image
1;8227.45;sticky wholly failing;whoa;2024-08-16T22:19:53;PRODUCE;incidentally
2;12789.67;brightly drat;intently geometry;2024-08-17T00:13:05;OTHER;coyote
3;16055.7;oh;under;2024-08-16T21:35:40;READY_MADE;articulate consequently
4;13917.91;and for peer;regarding tab;2024-08-17T07:17:42;OTHER;boo
5;24392.57;how;ah;2024-08-17T12:42:26;OTHER;regarding pep
6;14164.59;incidentally;sternly boldly;2024-08-17T00:14:35;OTHER;frenetically
7;2402.26;although warlord spice;canine;2024-08-17T04:45:43;READY_MADE;positively charming an
8;23585.87;so;as whack;2024-08-17T18:36:31;PRODUCE;oh as midst
9;10177.36;nor;save norm reintroduce;2024-08-17T05:28:21;PRODUCE;opulent knowingly
10;9588.93;doting;whistle slimy afterwards;2024-08-17T17:34:50;PRODUCE;arrogantly
